Level,Operators,Associativity,Description
11,"f(a, b)  ‧  ⊕  ⊖  ↴{…}",left,"Postfix operators: function call, qualified module access, resource alloc/release, exception handler"
10,"↯ ✎ ⧈ ⏲ - ⇀_ch ↽_ch (prefix)",right,"Unary prefix operators (including unary minus) and channel operations"
9,∘,left,Function composition
8,× ÷ ∗,left,Multiplication and division (/ is an ASCII alias of ÷)
7,+ -,left,Addition and subtraction
6,= ≠ < > ≤ ≥ ≈ ∼,non-associative,Comparison operators
5,∧,left,Logical AND
4,∨,left,Logical OR
3,⟹,right,Implication / guard arrow
2,|,left,Guarded alternatives: (condition ⟹ result) | fallback
1,←,right,Assignment
0,≜,right,Definition
-1,‖,left,Parallel composition
-2,;,left,Expression sequencing (trailing ; permitted)
